sale_id,customer_id,product_id,store_id,sale_date,amount,discount_applied,region,data_source,last_updated
1,730,52,10,2025-02-10,992.58,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
2,997,9,4,2025-03-05,150.72,17.18,Europe,CRM_SYSTEM,2025-07-07 23:20:13
3,135,38,13,2025-05-23,460.94,12.61,Asia,CRM_SYSTEM,2025-07-07 23:20:13
4,314,58,22,2025-05-25,121.0,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
5,990,3,49,2024-08-27,194.0,,North America,CRM_SYSTEM,2025-07-07 23:20:13
6,87,62,27,2024-10-27,809.08,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
7,810,96,9,2024-11-16,807.1,19.28,Europe,CRM_SYSTEM,2025-07-07 23:20:13
8,613,51,43,2024-10-21,825.75,11.78,Europe,CRM_SYSTEM,2025-07-07 23:20:13
9,662,67,36,2025-06-12,449.39,13.96,North America,CRM_SYSTEM,2025-07-07 23:20:13
10,990,71,30,2025-01-27,440.8,19.74,North America,CRM_SYSTEM,2025-07-07 23:20:13
11,459,24,12,2024-12-07,34.71,5.78,Europe,CRM_SYSTEM,2025-07-07 23:20:13
12,2,70,25,2024-07-21,621.32,14.03,North America,CRM_SYSTEM,2025-07-07 23:20:13
13,692,58,25,2025-04-11,178.99,4.06,Europe,CRM_SYSTEM,2025-07-07 23:20:13
14,258,18,49,2024-09-06,308.22,2.76,North America,CRM_SYSTEM,2025-07-07 23:20:13
15,832,5,41,2024-09-30,575.13,3.99,Asia,CRM_SYSTEM,2025-07-07 23:20:13
16,495,23,7,2024-12-04,567.87,5.56,Europe,CRM_SYSTEM,2025-07-07 23:20:13
17,714,25,48,2024-09-27,225.52,18.45,Europe,CRM_SYSTEM,2025-07-07 23:20:13
18,903,82,41,2025-04-27,402.59,14.78,Asia,CRM_SYSTEM,2025-07-07 23:20:13
19,356,4,46,2025-06-19,860.43,7.87,Asia,CRM_SYSTEM,2025-07-07 23:20:13
20,225,41,18,2024-11-20,649.25,19.3,Asia,CRM_SYSTEM,2025-07-07 23:20:13
21,748,6,49,2025-02-05,352.9,,North America,CRM_SYSTEM,2025-07-07 23:20:13
22,349,55,35,2025-04-25,775.01,15.79,Europe,CRM_SYSTEM,2025-07-07 23:20:13
23,588,31,25,2024-12-05,959.48,5.74,North America,CRM_SYSTEM,2025-07-07 23:20:13
24,856,61,6,2024-08-20,656.8,9.19,Asia,CRM_SYSTEM,2025-07-07 23:20:13
25,585,1,26,2024-11-25,352.58,5.25,North America,CRM_SYSTEM,2025-07-07 23:20:13
26,217,8,2,2024-11-13,436.58,6.96,Europe,CRM_SYSTEM,2025-07-07 23:20:13
27,773,55,4,2025-03-28,951.09,12.65,Asia,CRM_SYSTEM,2025-07-07 23:20:13
28,850,30,46,2024-09-24,571.48,11.64,Europe,CRM_SYSTEM,2025-07-07 23:20:13
29,101,33,7,2024-11-19,727.22,2.51,North America,CRM_SYSTEM,2025-07-07 23:20:13
30,352,59,35,2024-11-14,852.14,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
31,589,59,44,2025-03-14,707.73,2.78,Europe,CRM_SYSTEM,2025-07-07 23:20:13
32,166,68,16,2025-06-04,737.71,,North America,CRM_SYSTEM,2025-07-07 23:20:13
33,752,67,12,2025-06-13,468.48,13.62,Asia,CRM_SYSTEM,2025-07-07 23:20:13
34,937,67,20,2024-09-05,598.07,16.67,North America,CRM_SYSTEM,2025-07-07 23:20:13
35,82,35,29,2025-01-13,604.93,0.43,Europe,CRM_SYSTEM,2025-07-07 23:20:13
36,200,48,15,2024-12-28,792.35,1.38,Asia,CRM_SYSTEM,2025-07-07 23:20:13
37,210,38,4,2025-05-25,325.05,5.29,North America,CRM_SYSTEM,2025-07-07 23:20:13
38,97,36,4,2024-09-03,440.84,6.69,Asia,CRM_SYSTEM,2025-07-07 23:20:13
39,614,23,27,2024-09-17,74.63,1.32,Asia,CRM_SYSTEM,2025-07-07 23:20:13
40,670,13,34,2024-11-20,820.94,10.03,North America,CRM_SYSTEM,2025-07-07 23:20:13
41,109,5,37,2025-01-04,398.79,,North America,CRM_SYSTEM,2025-07-07 23:20:13
42,88,91,15,2025-05-07,289.64,10.05,Europe,CRM_SYSTEM,2025-07-07 23:20:13
43,656,48,38,2024-12-28,158.69,11.98,North America,CRM_SYSTEM,2025-07-07 23:20:13
44,313,51,34,2024-08-24,253.09,,North America,CRM_SYSTEM,2025-07-07 23:20:13
45,934,9,10,2024-12-29,365.61,8.85,Europe,CRM_SYSTEM,2025-07-07 23:20:13
46,496,96,35,2024-12-25,475.7,0.97,North America,CRM_SYSTEM,2025-07-07 23:20:13
47,159,41,8,2024-10-17,389.44,,Asia,CRM_SYSTEM,2025-07-07 23:20:13
48,603,29,12,2024-09-12,181.24,12.42,North America,CRM_SYSTEM,2025-07-07 23:20:13
49,203,71,32,2025-02-07,301.28,7.93,Asia,CRM_SYSTEM,2025-07-07 23:20:13
50,132,52,9,2025-06-08,369.69,4.22,North America,CRM_SYSTEM,2025-07-07 23:20:13
51,743,70,40,2025-04-13,520.53,2.24,Asia,CRM_SYSTEM,2025-07-07 23:20:13
52,920,79,24,2025-04-22,383.86,18.62,North America,CRM_SYSTEM,2025-07-07 23:20:13
53,195,37,20,2025-06-16,188.17,19.53,Europe,CRM_SYSTEM,2025-07-07 23:20:13
54,175,41,26,2024-12-24,315.83,16.43,Europe,CRM_SYSTEM,2025-07-07 23:20:13
55,757,99,11,2024-10-06,709.38,,North America,CRM_SYSTEM,2025-07-07 23:20:13
56,977,79,39,2025-06-07,270.83,4.71,North America,CRM_SYSTEM,2025-07-07 23:20:13
57,91,48,27,2025-06-28,219.74,,Europe,CRM_SYSTEM,2025-07-07 23:20:13
58,714,5,45,2024-08-20,770.36,9.47,Europe,CRM_SYSTEM,2025-07-07 23:20:13
59,779,7,49,2025-06-10,383.99,6.57,Asia,CRM_SYSTEM,2025-07-07 23:20:13
60,994,8,49,2025-06-17,778.83,15.38,Asia,CRM_SYSTEM,2025-07-07 23:20:13
61,565,81,44,2025-05-16,93.85,11.87,Europe,CRM_SYSTEM,2025-07-07 23:20:13
62,236,77,17,2025-03-02,187.8,18.53,Asia,CRM_SYSTEM,2025-07-07 23:20:13
63,534,14,45,2025-06-23,433.92,10.27,North America,CRM_SYSTEM,2025-07-07 23:20:13
64,659,57,15,2025-06-06,918.52,10.77,North America,CRM_SYSTEM,2025-07-07 23:20:13
65,647,60,39,2024-12-08,472.66,5.16,North America,CRM_SYSTEM,2025-07-07 23:20:13
66,55,93,29,2024-09-26,854.04,5.41,Europe,CRM_SYSTEM,2025-07-07 23:20:13
67,50,89,11,2025-05-28,32.78,16.4,North America,CRM_SYSTEM,2025-07-07 23:20:13
68,734,74,4,2024-08-20,25.18,16.53,Europe,CRM_SYSTEM,2025-07-07 23:20:13
69,674,72,3,2024-08-19,469.6,,North America,CRM_SYSTEM,2025-07-07 23:20:13
70,462,29,21,2024-07-24,597.24,3.14,Europe,CRM_SYSTEM,2025-07-07 23:20:13
71,234,75,13,2025-04-25,319.17,6.94,Europe,CRM_SYSTEM,2025-07-07 23:20:13
72,73,51,19,2024-10-16,424.07,17.19,Asia,CRM_SYSTEM,2025-07-07 23:20:13
73,864,10,32,2025-05-02,138.11,9.77,North America,CRM_SYSTEM,2025-07-07 23:20:13
